epoch,train_loss,val_loss
1,0.75797578,0.63936925
2,0.62658582,0.59463044
3,0.61156394,0.57924718
4,0.58913349,0.58447608
5,0.58713133,0.56212244
6,0.57717311,0.55811902
7,0.57189844,0.55786162
8,0.55911335,0.55046070
9,0.56279676,0.54788415
10,0.54243999,0.54037454
11,0.55025351,0.55400266
12,0.55026716,0.54286430
13,0.52804790,0.53518445
14,0.55971226,0.53216144
15,0.53771086,0.53683200
16,0.54824724,0.53072525
17,0.52123182,0.52547604
18,0.53353820,0.52804513
19,0.53560352,0.52965440
20,0.53293279,0.52806070
21,0.54265259,0.52410470
22,0.54057050,0.52627000
23,0.51632583,0.52170351
24,0.53284502,0.52649827
25,0.51640908,0.51815706
26,0.52379199,0.52776536
27,0.51348636,0.51955053
28,0.51288354,0.51555590
29,0.51081499,0.51486630
30,0.52404058,0.51462181
31,0.51581254,0.51337436
32,0.52239794,0.51190813
33,0.51020300,0.51757135
34,0.50651167,0.51491337
35,0.51030794,0.50440350
36,0.50522066,0.51087626
37,0.51711026,0.50820627
38,0.50955813,0.51249523
39,0.51539043,0.51136754
40,0.50923916,0.51431351
41,0.50409623,0.50662688
42,0.50197956,0.50598740
43,0.50131020,0.50628631
44,0.50463692,0.50312913
45,0.49486074,0.50504217
46,0.48921880,0.50080035
47,0.49685094,0.50492439
48,0.48796839,0.50027155
49,0.49999144,0.49943640
50,0.50535202,0.50200248
51,0.49307271,0.49986638
52,0.49500955,0.50380258
53,0.49437600,0.49907766
54,0.49867889,0.49849543
55,0.49695626,0.49795689
56,0.50296342,0.49570439
57,0.49050581,0.49971386
58,0.47708143,0.49674796
59,0.48918198,0.49630703
60,0.49488494,0.49329160
61,0.48301661,0.49817247
62,0.50172157,0.49303824
63,0.48715598,0.49839373
64,0.49262648,0.49373487
65,0.48534886,0.49504823
66,0.49363991,0.49283644
67,0.50623376,0.49281365
68,0.49589618,0.49145278
69,0.48946630,0.49179623
70,0.48256177,0.49238323
71,0.47485464,0.49054314
72,0.50192212,0.49015311
73,0.48865724,0.48996931
74,0.48153394,0.48877814
75,0.48425325,0.49001739
76,0.48231432,0.48908126
77,0.47488423,0.48806988
78,0.48994362,0.48874969
79,0.48905605,0.48928220
80,0.49119897,0.48835179
81,0.47908471,0.48874094
82,0.46949932,0.48812527
83,0.47379910,0.48819885
84,0.49380658,0.48819424
85,0.48040073,0.48669160
86,0.48458358,0.48801886
87,0.47410434,0.48679331
88,0.49315229,0.48517657
89,0.47179254,0.48664071
90,0.47509934,0.48703113
91,0.48354952,0.48612248
92,0.48730635,0.48690618
93,0.46994109,0.48595232
94,0.46698139,0.48591406
95,0.49130190,0.48543344
96,0.49150226,0.48525704
97,0.46508441,0.48541075
