infer_call,action_dim,pred_min,pred_mean,pred_max,gt_min,gt_mean,gt_max
1,0,-7.633427e-05,-1.6709684e-05,2.896307e-05,-0.00056013465,-8.765329e-05,0.00011329353
1,1,-0.00442824,-0.0035020977,-0.002301822,-0.009637415,-0.0036630593,-2.2947788e-06
1,2,-0.00020723607,-7.2275696e-05,0.000114117196,-0.00022001565,-4.165806e-05,3.7275255e-05
1,3,-0.008094907,0.0023325188,0.0354795,8.20607e-06,8.206071e-06,8.20607e-06
2,0,-9.4855626e-05,-2.7456474e-05,3.982261e-05,-0.00017356873,-2.1684915e-05,0.0001424402
2,1,-0.0044006812,-0.003304814,-0.0018681786,-0.00958699,-0.0030903667,6.392598e-05
2,2,-0.00023109678,-0.00010537855,9.8490826e-05,-0.00026025623,-3.804732e-05,0.00012303144
2,3,-0.007262081,0.0043664873,0.038824737,8.20607e-06,8.206071e-06,8.20607e-06
3,0,-0.00013801384,-1.6025318e-05,6.515162e-05,-0.00037573278,-6.3633546e-05,0.00022213161
3,1,-0.0032215207,-0.0018194837,-0.00019898464,-0.009473234,-0.0018126983,0.000117212534
3,2,-0.00028962074,-0.000117186835,0.00013623576,-0.001030162,-9.018602e-05,0.00014480203
3,3,0.0031876266,0.051253952,0.17075983,8.20607e-06,0.068758205,0.3000082
4,0,-4.4287444e-05,4.352678e-05,0.00018416249,-1.6391277e-07,-6.426126e-08,0.0
4,1,-0.00013807486,7.990966e-07,0.00015893532,0.0,4.8428774e-08,1.4901161e-07
4,2,-0.0009022681,-0.00021917661,0.000268005,-2.2351742e-08,2.4214387e-08,9.685755e-08
4,3,0.3724037,0.60421014,0.80246514,0.3000082,0.5500082,0.8000082
5,0,-9.535103e-05,0.0007443685,0.0022240917,-0.00029091537,0.00068807416,0.009312198
5,1,-0.00018520898,-2.940548e-05,9.130343e-05,-0.00063705444,-6.593391e-05,0.00021013618
5,2,-0.0037815939,-0.0022663905,-0.0004312372,-0.0094919875,-0.0023280573,0.0001039207
5,3,0.838429,0.8461027,0.8585258,0.8000082,0.80000806,0.8000082
6,0,-9.115618e-05,0.00050397,0.0026275993,-0.000604257,0.00062439777,0.009026155
6,1,-0.00030448125,-1.39915355e-05,0.00016655034,-0.0005271435,8.594245e-06,0.00042393804
6,2,-0.0003044322,4.70128e-06,0.0002921463,-0.0005051866,-9.949785e-06,0.00038053095
6,3,0.4889201,0.7069939,0.8701337,0.6000082,0.7312582,0.8000082
7,0,-0.00013804961,-1.9149378e-05,0.00013624084,-0.0016498715,-3.6775135e-05,0.00050088763
7,1,-0.00010191696,0.00013903707,0.0004434401,-0.000115156174,2.4164096e-05,0.00053450465
7,2,-0.0002869277,0.00057635026,0.0020617184,-8.128583e-06,0.00058054505,0.00787168
7,3,0.13112094,0.3649106,0.6281811,8.20607e-06,0.2687582,0.5000082
8,0,-0.00045389758,-0.00033262646,-0.00024039017,-0.0017908812,-0.00049106777,0.00026667118
8,1,-0.00018549792,0.00020286189,0.00085053267,-0.00017687678,0.00031718984,0.0011687577
8,2,0.0019957055,0.0024574387,0.002852597,-1.5869737e-06,0.0028444477,0.0087044835
8,3,-0.008880109,0.003022682,0.028665632,8.20607e-06,8.206071e-06,8.20607e-06
9,0,-0.00046975072,5.020754e-05,0.00041825263,-0.0013507605,1.7692335e-05,0.00060784817
9,1,0.00028613268,0.003040757,0.005113562,-0.000112622976,0.0029490683,0.009079814
9,2,-0.00012473259,0.0012227278,0.0028059923,-9.979308e-05,0.0013284385,0.006288573
9,3,0.007991046,0.01171761,0.015180737,8.20607e-06,8.206071e-06,8.20607e-06
10,0,8.0547245e-05,0.00014702763,0.00019940585,1.5467405e-05,0.00022041798,0.00050997734
10,1,0.0037401954,0.004406289,0.004958491,-3.3587217e-05,0.0041738637,0.009334564
10,2,-0.00026157303,-3.7394275e-06,0.00040701102,-0.005268231,-0.00027994718,0.00031764805
10,3,-0.011290818,-0.004201371,0.004817605,8.20607e-06,8.206071e-06,8.20607e-06
