infer_call,action_dim,pred_min,pred_mean,pred_max,gt_min,gt_mean,gt_max
1,0,-9.457911e-05,-4.5495646e-05,1.0432152e-05,-0.0004898757,-5.9282407e-05,0.00011102855
1,1,0.0012245113,0.0020219518,0.0026064273,-2.8014183e-06,0.0030499846,0.009637475
1,2,-0.00015019343,-7.6802826e-07,0.00015782994,-0.00019656122,-2.7918722e-05,3.72082e-05
1,3,0.0018682182,0.102896266,0.25599822,8.20607e-06,8.206071e-06,8.20607e-06
2,0,-7.40766e-05,-1.2090896e-05,5.9035243e-05,3.874302e-07,2.0647421e-06,1.6272068e-05
2,1,-3.4513243e-05,0.00045861237,0.0010090813,-2.3245811e-06,4.4703484e-08,2.9802322e-07
2,2,-0.0003163284,-2.1864375e-05,0.00020627996,2.4586916e-07,1.3089739e-06,1.0557473e-05
2,3,0.04899375,0.26868603,0.5442434,8.20607e-06,0.29375818,0.6000082
3,0,-0.00011141227,0.000103972336,0.0005494661,-0.00010429323,9.046495e-05,0.0008356124
3,1,-0.00030674308,-4.8403737e-05,0.00026868086,-2.6166439e-05,2.3182482e-05,0.00021344423
3,2,-0.003355622,-0.0012752219,0.0003226197,-0.009578548,-0.001767002,2.3841858e-07
3,3,0.63742125,0.78672314,0.8405121,0.6000082,0.7625081,0.8000082
4,0,-0.00030169764,0.0011986418,0.0038453436,-4.646182e-05,0.0011647725,0.009064257
4,1,-0.00045494922,-6.884624e-05,0.00028499658,-0.00034701824,-1.5169382e-05,0.00013244152
4,2,-0.0036483798,-0.0007924384,0.00031278993,-0.009706624,-0.0006682533,0.00026040524
4,3,0.59261084,0.75763285,0.8221297,0.5000082,0.7062583,0.8000082
5,0,-0.0002093581,-5.702418e-05,7.193455e-05,-0.00062447786,-5.5773184e-05,0.0002734214
5,1,-0.00013858965,3.2562373e-05,0.00030298502,-0.0001450777,-1.277402e-05,6.353855e-05
5,2,-6.525504e-05,0.001542861,0.0031723932,-4.1417778e-05,0.0018114531,0.009409398
5,3,0.14414008,0.2541025,0.4508211,0.100008205,0.20625822,0.4000082
6,0,-0.00040034082,-0.00027924305,-0.00018527942,-0.0015576184,-0.00034137908,0.00021605194
6,1,-0.00089508435,-0.00022353437,0.0001368284,-0.0003593564,-7.7512115e-05,5.0485134e-05
6,2,0.0017144772,0.0023616918,0.002935646,-2.5108457e-06,0.0025853575,0.008685425
6,3,0.08020927,0.0977135,0.121042535,0.100008205,0.10000822,0.100008205
7,0,-0.00020054473,-6.9500275e-05,1.7619896e-05,-0.0004810691,2.3802742e-05,0.0003465116
7,1,-0.005604803,-0.00442258,-0.0033177799,-0.009337604,-0.004124988,1.5974045e-05
7,2,-0.00029838594,0.0001208434,0.0005807087,-2.1010637e-05,0.00036009122,0.005336553
7,3,0.09089671,0.09460297,0.10554008,0.100008205,0.10000822,0.100008205
8,0,-0.00041435758,-0.00026032559,-0.00016823267,-0.00045904517,-0.00021644309,1.1250377e-05
8,1,-0.0054977485,-0.0045353505,-0.00305286,-0.009373784,-0.004744597,-0.00018179417
8,2,-0.000696899,-0.00027044272,0.00014742283,-0.00039592385,-7.444713e-05,6.856024e-05
8,3,0.057754368,0.06416323,0.07782544,0.100008205,0.10000822,0.100008205
9,0,-0.000454841,-0.00017726574,3.1397547e-05,-0.0005580783,-1.5106052e-05,0.00119403
9,1,-0.0035805986,-0.0012915813,0.0007500667,-0.009023339,-0.0017750878,8.696318e-05
9,2,-0.0016135212,-0.0010829486,-0.00053431094,-0.0060525537,-0.00085534994,9.87649e-05
9,3,0.03954646,0.12076526,0.325768,0.100008205,0.1500082,0.4000082
10,0,-0.00011865054,-7.613251e-06,8.354004e-05,-9.0897083e-07,-4.14749e-07,-2.2351742e-07
10,1,-0.000621081,1.2430077e-05,0.0004332599,1.4901161e-07,2.8808913e-07,5.364418e-07
10,2,-0.00080852106,-0.00029700605,5.574507e-05,7.4505806e-08,5.0415593e-07,2.026558e-06
10,3,0.16537982,0.4213233,0.72415423,0.4000082,0.48334154,0.5000082
