infer_call,action_dim,pred_min,pred_mean,pred_max,gt_min,gt_mean,gt_max
1,0,-9.201188e-05,2.8036811e-05,0.00013076514,-0.00048403442,-5.939603e-05,0.00011213124
1,1,-0.0011936863,-0.00084224046,-0.0004735854,-0.009638727,-0.0030499864,1.013279e-06
1,2,-0.0003160953,-5.2016294e-05,7.872397e-05,-0.00019278377,-2.7999282e-05,3.7163496e-05
1,3,-0.004237175,0.10472604,0.2894907,8.20607e-06,8.206071e-06,8.20607e-06
2,0,-0.00012818608,2.9404328e-06,0.0001081794,0.0,2.2696331e-06,3.582239e-05
2,1,5.9732753e-05,0.00023718413,0.00037599675,-1.4603138e-06,-9.872019e-08,0.0
2,2,-0.00035806652,-0.000113516646,7.838971e-05,0.0,1.4384277e-06,2.272427e-05
2,3,0.01215598,0.16655307,0.3966834,8.20607e-06,0.2437582,0.5000082
3,0,2.3094472e-06,0.00015379314,0.00038169115,-7.079542e-05,4.776474e-05,0.00083495677
3,1,-0.0002340442,-0.00013566541,-2.1372978e-05,-0.00021323562,-1.2218952e-05,1.7762184e-05
3,2,-0.0018970162,-0.0008905683,-2.6179492e-05,-0.008374251,-0.0005552699,2.2351742e-08
3,3,0.52494633,0.7059009,0.82994854,0.5000082,0.70000815,0.8000082
4,0,0.00036687288,0.0009381739,0.0012456577,-0.000104263425,0.0012074346,0.009043574
4,1,-0.00018969907,-3.875961e-05,0.00011171856,-0.00017562509,4.030764e-06,0.00034952164
4,2,-0.0025326924,-0.0018122421,-0.00089702907,-0.009718426,-0.001880059,0.00026851147
4,3,0.78019947,0.8058198,0.82170635,0.7000082,0.78750813,0.8000082
5,0,-3.27311e-05,0.0001507798,0.00053047854,-6.979704e-05,1.3932586e-06,9.697676e-05
5,1,-0.0001769945,-8.592894e-06,0.000104666775,-1.7553568e-05,-1.1362135e-06,3.2484531e-06
5,2,-0.00031257892,0.00028137956,0.0014121329,-6.604195e-05,2.2156164e-06,0.000104524195
5,3,0.20721817,0.44566026,0.6967478,0.20000821,0.47500822,0.7000082
6,0,-0.0003510823,-0.00014237469,5.691126e-05,-0.0006470084,-0.00012564287,0.00027371943
6,1,-0.00022009443,-2.8402686e-05,0.00017962487,-6.341934e-05,2.9874966e-05,0.00015679002
6,2,0.0014189989,0.0021804874,0.0028699317,-6.9484115e-05,0.0029133908,0.009410597
6,3,0.08063707,0.13833138,0.24813578,0.20000821,0.20000817,0.20000821
7,0,-0.00036336738,-0.00023501439,-0.00013429648,-0.0015554577,-0.00027798675,0.00034682453
7,1,-0.0010391274,-0.00066346733,-0.00024811702,-2.2798777e-05,0.0006664861,0.00929454
7,2,0.0011305669,0.0019369022,0.0024085206,-4.3213367e-06,0.001835918,0.0059489235
7,3,0.09129521,0.11466384,0.15745452,0.20000821,0.20000817,0.20000821
8,0,-4.941132e-05,8.586518e-05,0.00021006959,-0.00049613416,-0.00027826522,-2.771616e-06
8,1,-0.0041747787,-0.0039116396,-0.0035412328,-0.009302378,-0.004679024,-0.000119805336
8,2,-0.00032491243,-8.5377305e-06,0.00039263314,-0.00053346157,-0.0001206696,9.030104e-05
8,3,0.03655702,0.047972158,0.07640952,0.20000821,0.20000817,0.20000821
9,0,7.2733965e-06,0.000111629925,0.00019768975,-0.008331329,-0.00092666317,0.0009358525
9,1,-0.0015852929,-0.00080818246,-8.327696e-05,-0.00057277083,-0.00015003048,7.882714e-05
9,2,-0.0011203627,-0.0007612558,-0.0005179043,-0.005687386,-0.00063548423,0.0009634346
9,3,0.050153524,0.1457186,0.3159023,0.20000821,0.26875818,0.6000082
10,0,-0.0003940959,5.0597242e-05,0.0008569127,-1.7881393e-07,-1.0217939e-07,-5.9604645e-08
10,1,-0.0006166413,-0.00032052153,-1.9185072e-05,2.9802322e-08,6.81196e-08,1.1920929e-07
10,2,-0.002750675,-0.001829888,-6.0221937e-05,-1.4901161e-08,2.5544848e-08,8.940697e-08
10,3,0.6921505,0.8409216,0.92861766,0.7000082,0.78572255,0.8000082
