infer_call,action_dim,pred_min,pred_mean,pred_max,gt_min,gt_mean,gt_max
1,0,-0.00010045075,-5.118967e-05,-3.0402007e-06,-0.00048403442,-5.939603e-05,0.00011213124
1,1,-0.003639734,-0.0031125469,-0.0023939868,-0.009638727,-0.0030499864,1.013279e-06
1,2,-8.97249e-05,3.4402365e-07,0.000111564994,-0.00019278377,-2.7999282e-05,3.7163496e-05
1,3,0.0071682334,0.01578458,0.050432622,8.20607e-06,8.206071e-06,8.20607e-06
2,0,-7.532396e-05,-3.2881926e-05,1.1655065e-06,0.0,2.2696331e-06,3.582239e-05
2,1,-0.0031191953,-0.0018277209,-0.00051507587,-1.4603138e-06,-9.872019e-08,0.0
2,2,-0.00011383157,-7.568213e-06,9.263476e-05,0.0,1.4384277e-06,2.272427e-05
2,3,0.007455647,0.0896576,0.23481107,8.20607e-06,0.2437582,0.5000082
3,0,-0.00016949936,1.1615087e-05,8.3780826e-05,-7.079542e-05,4.776474e-05,0.00083495677
3,1,-0.00059837743,-0.00029309362,-1.5605183e-05,-0.00021323562,-1.2218952e-05,1.7762184e-05
3,2,-0.00021129384,7.108927e-05,0.0003632594,-0.008374251,-0.0005552699,2.2351742e-08
3,3,0.35846606,0.6205007,0.8576677,0.5000082,0.70000815,0.8000082
4,0,-0.0003098562,1.5758469e-05,0.00018355675,-0.000104263425,0.0012074346,0.009043574
4,1,-0.00020162016,-2.869101e-05,0.0001741309,-0.00017562509,4.030764e-06,0.00034952164
4,2,-0.0020365198,-0.0006403455,-4.521833e-06,-0.009718426,-0.001880059,0.00026851147
4,3,0.87519217,1.0434855,1.1256841,0.7000082,0.78750813,0.8000082
5,0,3.603533e-05,0.00063852244,0.0019309294,-6.979704e-05,1.3932586e-06,9.697676e-05
5,1,-0.000212593,6.945111e-05,0.00032775273,-1.7553568e-05,-1.1362135e-06,3.2484531e-06
5,2,-0.0026609898,-0.0015696685,-0.00028940415,-6.604195e-05,2.2156164e-06,0.000104524195
5,3,1.0934682,1.1084726,1.1205502,0.20000821,0.47500822,0.7000082
6,0,0.00012666085,0.0007171366,0.0013618659,-0.0006470084,-0.00012564287,0.00027371943
6,1,-0.00022464502,-3.498432e-05,0.00032109418,-6.341934e-05,2.9874966e-05,0.00015679002
6,2,-0.0021554169,-0.000873226,3.1101605e-05,-6.9484115e-05,0.0029133908,0.009410597
6,3,1.0021356,1.0793303,1.1211945,0.20000821,0.20000817,0.20000821
7,0,0.00017854624,0.0004742532,0.0008554588,-0.0015554577,-0.00027798675,0.00034682453
7,1,-0.00013541873,7.490755e-06,0.0002685262,-2.2798777e-05,0.0006664861,0.00929454
7,2,-0.001236628,-0.0004985738,3.9953156e-05,-4.3213367e-06,0.001835918,0.0059489235
7,3,0.84319663,0.9634082,1.0389813,0.20000821,0.20000817,0.20000821
8,0,0.0001803189,0.0006166942,0.0013224874,-0.00049613416,-0.00027826522,-2.771616e-06
8,1,-0.00014328351,-2.3251887e-06,0.0002749937,-0.009302378,-0.004679024,-0.000119805336
8,2,-0.001359666,-0.0005335152,5.75959e-06,-0.00053346157,-0.0001206696,9.030104e-05
8,3,0.795987,0.8590595,0.88084936,0.20000821,0.20000817,0.20000821
9,0,0.00014318008,0.00062683993,0.0014543198,-0.008331329,-0.00092666317,0.0009358525
9,1,-0.000157787,-3.3944743e-05,0.00019676349,-0.00057277083,-0.00015003048,7.882714e-05
9,2,-0.0014336944,-0.00051781774,7.387591e-05,-0.005687386,-0.00063548423,0.0009634346
9,3,0.79594696,0.8267597,0.8425139,0.20000821,0.26875818,0.6000082
10,0,0.00017071204,0.00065524626,0.001503604,-1.7881393e-07,-1.0217939e-07,-5.9604645e-08
10,1,-0.00026072108,-0.00011521934,0.00015011488,2.9802322e-08,6.81196e-08,1.1920929e-07
10,2,-0.0015584431,-0.0005688024,0.000110522786,-1.4901161e-08,2.5544848e-08,8.940697e-08
10,3,0.8070991,0.84477055,0.87004006,0.7000082,0.78572255,0.8000082
11,0,0.00016197196,0.00069084467,0.0015197418,0.0,0.0,0.0
11,1,-0.00025725015,-9.9404984e-05,0.00021681393,0.0,0.0,0.0
11,2,-0.0017525377,-0.0006922493,4.9071125e-05,0.0,0.0,0.0
11,3,0.85779023,0.88040245,0.89748895,0.0,0.0,0.0
12,0,0.00018760833,0.0006816194,0.0015221054,0.0,0.0,0.0
12,1,-0.00018660992,-2.9965497e-05,0.00028224994,0.0,0.0,0.0
12,2,-0.0016743769,-0.00068131054,-1.28491665e-05,0.0,0.0,0.0
12,3,0.83664775,0.8850102,0.8966297,0.0,0.0,0.0
13,0,0.0001628883,0.00064096943,0.001474169,0.0,0.0,0.0
13,1,-0.00013173919,3.3273282e-06,0.00027397828,0.0,0.0,0.0
13,2,-0.0015116634,-0.0005959249,-1.1941884e-06,0.0,0.0,0.0
13,3,0.80504215,0.85753095,0.8704537,0.0,0.0,0.0
14,0,0.00015230977,0.00063767674,0.0014766289,0.0,0.0,0.0
14,1,-0.00016339996,-3.7598787e-05,0.000200484,0.0,0.0,0.0
14,2,-0.0014830825,-0.000548026,6.3448184e-05,0.0,0.0,0.0
14,3,0.80631804,0.8375387,0.8531656,0.0,0.0,0.0
15,0,0.00017840443,0.0006613221,0.0015096824,0.0,0.0,0.0
15,1,-0.00024440524,-9.994386e-05,0.00016573543,0.0,0.0,0.0
15,2,-0.0015792274,-0.0005876674,9.269046e-05,0.0,0.0,0.0
15,3,0.8219485,0.85146487,0.8726412,0.0,0.0,0.0
